ShipComponentJobLinkId,vesselname,ShipComponentName,ShipComponentCode,JobCode,JobName,FrequencyType,Frequency,AlternateFrequencyType,AlternateFrequency,Responsibility
24037,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J013,Bridge Alarms - Ba014 Ais Abnormal - Test Alarm,Monthly,3,,,Electrical Officer
24039,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J014,Bridge Alarms - Ba015 Gps 1 Failure - Test Alarm,Monthly,3,,,Electrical Officer
24041,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J015,Bridge Alarms - Ba016 Gps 2 Failure - Test Alarm,Monthly,3,,,Electrical Officer
24043,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J016,Bridge Alarms - Ba017 Navtex Received - Test Alarm,Monthly,3,,,Electrical Officer
24045,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J017,Bridge Alarms - Ba018 Vdr Abnormal - Test Alarm,Monthly,3,,,Electrical Officer
24047,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J018,Bridge Alarms - Ba019 Gyro Failure - Test Alarm,Monthly,3,,,Electrical Officer
24049,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J019,Bridge Alarms - Ba020 Gyro Heading Difference Alarm - Test Alarm,Monthly,3,,,Electrical Officer
24051,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J020,Bridge Alarms - Ba021 Nav.Lights Control Panel Failure - Test Alarm,Monthly,3,,,Electrical Officer
24053,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J021,Bridge Alarms - Ba022 Signal Lights Control Panel Failure - Test Alarm,Monthly,3,,,Electrical Officer
24056,Bdp Spirit,Wheel House Control Console,20.100.003-001,20.100.003-001-J022,Bridge Alarms - Ba023 Whistle Control Panel Failure - Test Alarm,Monthly,3,,,Electrical Officer
24058,Bdp Spirit,Bilge Alarm,13.200.003.002-001,13.200.003.002-001-J001,Blige System - Bl002 E/R Bilge Fore Stbd Level - Test Alarm,Weekly,1,,,Electrical Officer
24060,Bdp Spirit,Bilge Alarm,13.200.003.002-001,13.200.003.002-001-J002,Blige System - Bl003 E/R Bilge Aft Level - Test Alarm,Weekly,1,,,Electrical Officer
24061,Bdp Spirit,Bilge Alarm,13.200.003.002-001,13.200.003.002-001-J003,Blige System - Bl004 E/R Flooding - Test Alarm,Weekly,1,,,Electrical Officer
24063,Bdp Spirit,Bilge Alarm,13.200.003.002-001,13.200.003.002-001-J004,Blige System - Bl005 D/Gen.Room Bilge Level - Test Alarm,Weekly,1,,,Electrical Officer
24065,Bdp Spirit,Bilge Alarm,13.200.003.002-001,13.200.003.002-001-J005,Blige System - Bl007 Bow Thruster Room Flooding - Test Alarm,Weekly,1,,,Electrical Officer
24068,Bdp Spirit,Bilge Alarm,13.200.003.002-001,13.200.003.002-001-J006,Blige System - Bow Thruster Room High Level - Test Alarm,Weekly,1,,,Electrical Officer
24070,Bdp Spirit,Life Boat Davit And Winch,11.001.023.002-001,13.200.003.002-001-J007,Life Boat/Rescue Boat Davit Monthly Inspection,Weekly,1,,,Third Officer
24072,Bdp Spirit,Hose Handling Crane,19.100.001-001,19.100.001-001-J001,Hose Handling Crane 6 Monthly Maintenance,Monthly,6,,,Second Engineer
24074,Bdp Spirit,Hose Handling Crane,19.100.001-001,19.100.001-001-J002,Hose Handling Crane 6 Monthly Lube Oil Analysis,Monthly,6,,,Second Engineer
24076,Bdp Spirit,Hose Handling Crane,19.100.001-001,19.100.001-001-J003,Hose Handling Crane Limit Switches 1 Monthly Function Test,Monthly,1,,,Fourth Engineer
24078,Bdp Spirit,Hose Handling Crane,19.100.001-001,19.100.001-001-J004,Hose Handling Crane 2 Monthly Maintenance,Monthly,2,,,Fourth Engineer
24080,Bdp Spirit,Hose Handling Crane,19.100.001-001,19.100.001-001-J005,Hose Handling Crane 3 Monthly Oil Change,Monthly,3,,,Fourth Engineer
24082,Bdp Spirit,Hose Handling Crane,19.100.001-001,19.100.001-001-J006,Hose Handling Crane 60 Monthly Load Test,Monthly,60,,,Chief Engineer
24084,Bdp Spirit,Provision Crane,19.100.012-001,19.100.012-001-J001,Provision Crane Winch / Slew Gear 36 Monthly Greasing,Monthly,36,,,Second Engineer
24086,Bdp Spirit,Provision Crane,19.100.012-001,19.100.012-001-J002,Provision Crane Motor Starter Panel 6 Monthly Maintenance,Monthly,6,,,Electrical Officer
24088,Bdp Spirit,Provision Crane,19.100.012-001,19.100.012-001-J003,Provision Crane Limit Switches 1 Monthly Function Test,Monthly,1,,,Chief Engineer
24090,Bdp Spirit,Provision Crane,19.100.012-001,19.100.012-001-J004,Provision Crane 6 Monthly Maintenance,Monthly,6,,,Second Engineer
24092,Bdp Spirit,Provision Crane,19.100.012-001,19.100.012-001-J005,Provision Crane 3 Monthly Maintenance,Monthly,3,,,Second Engineer
24094,Bdp Spirit,Provision Crane,19.100.012-001,19.100.012-001-J006,Provision Crane 60 Monthly Load Test,Monthly,60,,,Chief Engineer
24096,Bdp Spirit,Engine Room Crane,19.100.005-001,19.100.005-001-J001,Engine Room Overhead Crane Monthly Maintenance,Monthly,1,,,Fourth Engineer
24098,Bdp Spirit,Engine Room Crane,19.100.005-001,19.100.005-001-J002,Engine Room Overhead Crane Motor Starter Panel Monthly Maintenance,Monthly,1,,,Electrical Officer
24100,Bdp Spirit,Engine Room Crane,19.100.005-001,19.100.005-001-J003,Engine Room Overhead Limit Switches 1 Monthly Function Test,Monthly,1,,,Electrical Officer
24102,Bdp Spirit,Engine Room Crane,19.100.005-001,19.100.005-001-J004,Engine Room Overhead Crane Annual Maintenance,Monthly,12,,,Second Engineer
24104,Bdp Spirit,Engine Room Crane,19.100.005-001,19.100.005-001-J005,Engine Room Overhead Crane Electromagnetic Brake Checks,Monthly,1,,,Electrical Officer
24106,Bdp Spirit,Engine Room Crane,19.100.005-001,19.100.005-001-J006,Engine Room Overhead Crane 60 Monthly Load Test,Monthly,60,,,Chief Engineer
24110,Bdp Spirit,Freefall Lifeboat,11.001.023-001,11.001.024.002-001-J001,Life Boat/Rescue Boat Weekly Pyrotechnics Check,Weekly,1,,,Third Officer
24112,Bdp Spirit,Life Boat Davit And Winch,11.001.023.002-001,11.001.023-001-J001,Life Boat/Rescue Boat Davit And Winch Gear Oil Check,Weekly,1,,,Fourth Engineer
24114,Bdp Spirit,Life Boat Davit And Winch,11.001.023.002-001,11.001.023.002-001-J002,Life Boat/Rescue Boat Launching And Recovery Arrangement Weekly Checks,Monthly,1,,,Third Officer
24118,Bdp Spirit,Freefall Lifeboat,11.001.023-001,11.001.023.001-001-J001,Lifeboat / Rescue Boat Fittings Monthly Inspection,Monthly,1,,,Third Engineer
24120,Bdp Spirit,Life Boat Air Bottle,11.001.023.005-001,11.001.023.005-001-J001,Life Boat/Rescue Boat Air Bottle Pressure Check,Monthly,1,,,Third Officer
24122,Bdp Spirit,Rescue Boat,11.001.024-001,11.001.023-001-J002,Life/ Rescue Boat Monthly Checks,Monthly,1,,,Third Engineer
24129,Bdp Spirit,Rescue Boat Engine,11.001.024.001-001,11.001.023.001-001-J002,Rescue Boat Engine Monthly Maintenance,Monthly,1,,,Third Engineer
24135,Bdp Spirit,Life Boat Davit And Winch,11.001.023.002-001,11.001.023.002-001-J004,Life Boat/Rescue Boat Davit Annual Inspection,Monthly,12,,,Master
24137,Bdp Spirit,Lifeboat Battery,3.250.013-004,3.250.013-004-J001,Life Boat Battery 36 Month Renewal,Monthly,36,,,Electrical Officer
24139,Bdp Spirit,Life Boat Davit And Winch,11.001.023.002-001,11.001.023.002-001-J005,Life Boat/Rescue Boat Davit & Winch 5 Yearly  Shore Inspection,Monthly,60,,,Chief Engineer
24141,Bdp Spirit,Rescue Boat,11.001.024-001,11.001.024-001-J002,Lifeboat / Rescue Boat Fittings 5 Yearly Inspection,Monthly,60,,,Third Officer
24143,Bdp Spirit,Life Boat Davit And Winch,11.001.023.002-001,11.001.023.002-001-J006,Life Boat/Rescue Boat Davit And Winch 60 Month Examination,Monthly,60,,,Chief Officer
24173,Bdp Spirit,Anchor Windlass #1,16.100.004-001,16.100.004-001-J002,Windlass/Mooring Winch - Check Mooring Rope Condition,Monthly,3,,,Chief Officer
24232,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J001,Steering Gear Weekly Checks,Weekly,1,,,Second Engineer
24234,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J002,Steering Gear Lube Oil Sample Analysis,Monthly,6,,,Third Engineer
24237,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J003,Steering Gear - Emergency Steering Test,Monthly,3,,,Chief Engineer
24239,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J004,Steering Gear Annual Maintenance,Monthly,12,,,Second Engineer
24241,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J005,Steering Gear Timing Checks,Monthly,3,,,Chief Engineer
24243,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J006,Steering Gear Linear Piston Unit 60 Month Maintenance,Monthly,60,,,Second Engineer
24245,Bdp Spirit,Steering Gear,17.100.001-001,17.100.001-001-J007,Steering Gear Pressure Gauge Calibration,Monthly,3,,,Second Engineer
24259,Bdp Spirit,Protective Gloves,11.100.001.042-001,11.001.003-001-J001,Thermal Protective Aids - Monthly Checks,Weekly,1,,,Third Officer
24265,Bdp Spirit,Lifebuoys With Self Ignition Lights,11.001.006-001,11.001.006-001-J001,Lifebuoys - Monthly Inspection,Monthly,1,,,Third Officer
24267,Bdp Spirit,Lifebuoys With Self Ignition Lights,11.001.006-001,11.001.006-001-J002,Lifebuoys - 6 Monthly Checks,Monthly,6,,,Third Officer
24277,Bdp Spirit,Life Jackets And Life Vests,11.100.001.039-001,11.100.001.039-001-J001,Life Jacket Monthly Inspection,Monthly,1,,,Third Officer
24279,Bdp Spirit,Life Jackets And Life Vests,11.100.001.039-001,11.100.001.039-001-J002,Life Jacket 6 Monthly Inspection,Monthly,6,,,Third Officer
24281,Bdp Spirit,Life Jackets And Life Vests,11.100.001.039-001,11.100.001.039-001-J003,Life Jacket Annual Inspection,Monthly,12,,,Third Officer
24283,Bdp Spirit,Co2 Room ,18.100.019-001,11.100.001.042-001-J001,Co2 Halon Room And Operating Controls Monthly Checks,Monthly,1,,,Chief Engineer
24285,Bdp Spirit,Immersion Suits,11.001.007-001,11.001.007-001-J001,Immersion Suits Monthly Checks,Monthly,1,,,Third Officer
24287,Bdp Spirit,Immersion Suits,11.001.007-001,11.001.007-001-J002,Immersion Suits 6 Monthly Checks,Monthly,6,,,Third Officer
24297,Bdp Spirit,Signal  Light,12.001.041.008-001,12.001.041.008-001-J001,Aldis Lamp & Signal Lights Monthly Checks,Monthly,1,,,Third Officer
24305,Bdp Spirit,Air Compressor For Breathing Devices,11.100.001.023-001,11.100.001.023-001-J002,Breathing Air Compressor Monthly Inspection,Monthly,1,,,Third Officer
24309,Bdp Spirit,Air Foam Applicator,11.100.001.009-001,11.100.001.009-001-J001,Foam Applicator Monthly Checks,Monthly,1,,,Third Officer
24311,Bdp Spirit,Deck Foam Sea Water Pump,11.100.002.003-002,11.100.002.003-001-J001,Foam Liquid Pump Monthly Function Test,Monthly,1,,,Second Engineer
24315,Bdp Spirit,Embarkation Ladder #2,11.001.016-002,11.001.016-002-J001,Embarkation Ladder Monthly Checks,Monthly,1,,,Third Officer
24319,Bdp Spirit,Emergency Escape Breathing Device Eebd,11.100.013.020-001,11.100.013.020-001-J002,Eebd Hydrostatic Test,Monthly,60,,,Third Officer
24325,Bdp Spirit,Emergency Medical Oxygen Equipment,11.001.019-001,11.001.019-001-J001,Medical O2 Bottles Pressure Test,Monthly,1,,,Second Officer
24337,Bdp Spirit,Fire Isolation Valve Water,11.100.001.011-001,11.100.008-001-J001,Isolation Valve Pressure Testing,Weekly,1,,,Chief Officer
24339,Bdp Spirit,Fire Extinguishing System,11.100.001-001,11.100.001-001-J001,Fire Extinguishers Monthly Checks,Monthly,1,,,Third Officer
24341,Bdp Spirit,Fire Hydrants,11.100.001.008-001,11.100.001.008-001-J001,Fire Hydrants Annual Overhauling,Monthly,12,,,Third Officer
24343,Bdp Spirit,"Fire Proof Apparatus, Personnel Protection",11.100.001.024-001,11.100.001.011-001-J001,Fire Blankets Monthly Checks,Weekly,1,,,Third Officer
24345,Bdp Spirit,Fire Isolation Valve Water,11.100.001.011-001,11.100.001.011-001-J002,Isolation Valve Monthly Checks,Monthly,1,,,Chief Officer
24347,Bdp Spirit,Fire Proof Doors,11.100.001.025-001,11.100.001.024-001-J001,Fire Doors Weekly Checks,Monthly,1,,,Third Officer
24349,Bdp Spirit,Fixed Water-Based Local Application Fire-Fighting System,11.100.006-001,11.100.001.025-001-J001,Hypermist System Inspection Of Piping System,Weekly,1,,,Chief Engineer
24351,Bdp Spirit,Fire Smoke Detectors,11.100.008.004-001,11.100.008.004-001-J001,Smoke Detectors Monthly Checks,Monthly,1,,,Electrical Officer
24355,Bdp Spirit,Fixed Co2 System,11.100.004-001,11.100.004-001-J001,Co2 Extinguisher 60 Month Servicing,Monthly,60,,,Third Officer
24357,Bdp Spirit,Fixed Deck Foam Fire Fighting System,11.100.002.001-001,11.100.002.001-001-J001,Foam Fire Extinguisher 60 Month Servicing,Monthly,60,,,Third Officer
24361,Bdp Spirit,Fixed Water-Based Local Application Fire-Fighting System,11.100.006-001,11.100.006-001-J002,Hypermist System - Pump Monthly Function Test,Monthly,1,,,Chief Engineer
24363,Bdp Spirit,Fixed Water-Based Local Application Fire-Fighting System,11.100.006-001,11.100.006-001-J003,Hypermist System Annual Checks,Monthly,12,,,Second Engineer
24365,Bdp Spirit,Fixed Water-Based Local Application Fire-Fighting System,11.100.006-001,11.100.006-001-J004,Hypermist System 60 Month Servicing,Monthly,60,,,Third Engineer
24367,Bdp Spirit,Main Isolation Valve Foam,11.100.001.010-001,11.100.006-001-J005,Foam Isolation Valve Monthly Pressure Test,Monthly,1,,,Chief Officer
24369,Bdp Spirit,Flame Detectors,11.100.008.010-001,11.100.008.010-001-J001,Flame Detectors Monthly Checks,Monthly,1,,,Electrical Officer
24371,Bdp Spirit,Low Expansion Foam Tank,11.100.002.002-001,11.100.002.002-001-J001,Foam Tank Monthly Checks,Monthly,1,,,Third Officer
24373,Bdp Spirit,Foam Monitors,11.100.002.005-001,11.100.002.005-001-J001,Foam Monitors Monthly Checks,Monthly,1,,,Third Officer
24375,Bdp Spirit,Gas Detection System,11.100.009-001,11.100.009-001-J001,Fixed Gas Detection System 120 Month Tests,Monthly,120,,,Chief Engineer
24378,Bdp Spirit,High Pressure Hoses,11.100.004.001-001,11.100.004.001-001-J001,Fire Hoses Monthly Checks,Monthly,1,,,Third Officer
24380,Bdp Spirit,High Pressure Hoses,11.100.004.001-001,11.100.004.001-001-J002,Fire Hoses 3 Monthly Pressure Test,Monthly,3,,,Third Officer
24382,Bdp Spirit,International Shore Connection,11.100.001.022-001,11.100.001.022-001-J001,International Shore Coupling Monthly Inspection,Monthly,1,,,Third Officer
24384,Bdp Spirit,Main Isolation Valve Foam,11.100.001.010-001,11.100.001.010-001-J001,Foam Isolation Valve 3 Monthly Overhaul,Monthly,3,,,Chief Officer
24396,Bdp Spirit,Self-Contained Breathing Apparatus,11.100.001.029-001,11.100.001.029-001-J001,Scba 5 Yearly Hydraulic Pressure Test,Monthly,60,,,Third Officer
24400,Bdp Spirit,Signal  Light,12.001.041.008-001,12.001.041.008-001-J002,Aldis Lamp & Signalling Lights 3 Monthly Checks,Monthly,3,,,Electrical Officer
24402,Bdp Spirit,Transportable Foam Applicator,11.100.001.009-002,11.100.001.009-002-J001,Foam Applicator 3 Monthly Testing,Monthly,3,,,Third Officer
24404,Bdp Spirit,Sprinkler System / Water Spray Nozzle For Paint Store & Cargo Sample Room,11.100.006.007-001,11.100.006.007-001-J001,Paint Room Sprinkler System Three Monthly Checks,Monthly,3,,,Chief Officer
24406,Bdp Spirit,Water Spray System Valves,11.100.001.007-001,11.100.001.007-001-J001,Pressure Relief Valve Annual Pressure Testing,Monthly,12,,,Third Engineer
25225,Bdp Spirit,Thermal Boiler #1,10.100.002-001,11.100.006.009-001-J003,Thermal Oil Boiler Weekly Checks,Monthly,6,,,Third Engineer
25233,Bdp Spirit,Fuel Purifier Heater #2,5.300.010-002,5.300.010-002-J001,Fuel Oil Purifier Heater 6 Monthly Checks,Monthly,6,,,Third Engineer
25235,Bdp Spirit,Fuel Purifier Heater #2,5.300.010-002,5.300.010-002-J002,Fuel Oil Purifier Heater 60 Monthly Ovehaul,Monthly,60,,,Third Engineer
25237,Bdp Spirit,Lube Oil Purifier Heater #1,6.300.008-001,6.300.008-001-J001,Lube Oil Purifier Heater 6 Monthly Checks,Monthly,6,,,Third Engineer
25239,Bdp Spirit,Lube Oil Purifier Heater #1,6.300.008-001,6.300.008-001-J002,Lube Oil Purifier Heater 60 Monthly Ovehaul,Monthly,60,,,Third Engineer
25241,Bdp Spirit,Fuel Purifier Heater #2,5.300.010-002,5.300.010-002-J003,Fuel Oil Steam Heater 6 Monthly Checks,Monthly,6,,,Third Engineer
25243,Bdp Spirit,Fuel Purifier Heater #2,5.300.010-002,5.300.010-002-J004,Fuel Oil Steam Heater 60 Monthly Ovehaul,Monthly,60,,,Third Engineer
25257,Bdp Spirit,Fuel Oil Supply Unit Mgo Cooler,5.200.024-001,5.200.024-001-J001,Mgo Cooler 6 Monthly Checks,Monthly,6,,,Third Engineer
25259,Bdp Spirit,Main L.O Cooler,6.200.013-001,6.200.013-001-J001,M/E Lube Oil Cooler 6 Monthly Checks,Monthly,6,,,Second Engineer
25261,Bdp Spirit,Hydraulic Oil Cooler,15.200.065-001,15.200.065-001-J001,Hydraulic Oil Cooler 6 Monthly Checks,Monthly,6,,,Second Engineer
25263,Bdp Spirit,Cargo Pump Framo #1,15.200.010-001,15.200.010-001-J001,Cargo Pumps Monthly Checks,Monthly,1,,,Chief Engineer
25290,Bdp Spirit,Cargo Pump Framo #1,15.200.010-001,15.200.010-001-J002,Cargo Pumps 3 Monthly Checks,Monthly,3,,,Chief Engineer
25317,Bdp Spirit,Cargo Pump Framo #1,15.200.010-001,15.200.010-001-J003,Cargo Pumps - Overhauling,Monthly,60,,,Chief Engineer
25343,Bdp Spirit,Portable Cargo Pump,15.200.021-001,15.200.021-001-J001,Portable Cargo Pump 3 Monthly Checks,Monthly,3,,,Chief Engineer
25345,Bdp Spirit,Portable Cargo Pump,15.200.021-001,15.200.021-001-J002,Portable Cargo Pump Annual Function Test,Monthly,12,,,Chief Engineer
25347,Bdp Spirit,Portable Cargo Pump,15.200.021-001,15.200.021-001-J003,Portable Cargo Pump - Overhauling,Monthly,60,,,Chief Engineer
25349,Bdp Spirit,Segregated Ballast Pump #1,15.350.003-001,15.350.003-001-J001,Ballast Pump Monthly Checks,Monthly,1,,,Chief Engineer
25351,Bdp Spirit,Segregated Ballast Pump #1,15.350.003-001,15.350.003-001-J002,Ballast Pump 3 Monthly Checks,Monthly,3,,,Chief Engineer
25353,Bdp Spirit,Segregated Ballast Pump #1,15.350.003-001,15.350.003-001-J003,Ballast Pump Overhauling,Monthly,60,,,Chief Engineer
25361,Bdp Spirit,Electric Hydraulic Power Pack #1,15.200.061-001,15.200.061-001-J001,Hydraulic Power Pack 3 Monthly Checks,Monthly,3,,,Second Engineer
25363,Bdp Spirit,Electric Hydraulic Power Pack #1,15.200.061-001,15.200.061-001-J002,Hydraulic Power Pack Overhauling,Monthly,60,,,Second Engineer
25365,Bdp Spirit,Electric Hydraulic Power Pack #1,15.200.061-001,15.200.061-001-J003,Hydraulic Power Pack - Hydraulic Oil Testing,Monthly,3,,,Second Engineer
25379,Bdp Spirit,Hydraulic Oil Cooler,15.200.065-001,15.200.065-001-J002,Hydraulic Oil Cooler Annual Checks,Monthly,12,,,Second Engineer
25381,Bdp Spirit,Tank Cleaning Machine #01,15.200.050-001,15.200.050-001-J001,Cargo Tank Cleaning Pump 6 Monthly Maintenance,Monthly,6,,,Second Engineer
25406,Bdp Spirit,Tank Cleaning Pump #1,8.100.018-001,8.100.018-001-J005,Tank Cleaning Pump 3 Monthly Function Test,Monthly,3,,,Second Engineer
25410,Bdp Spirit,Valve Remote Operating Hydraulic Pump Motor #1,15.200.020.001-002,15.200.020.001-002-J001,Valve Remote Operating Hydraulic Pump 3 Monthly Checks,Monthly,3,,,Second Engineer
25414,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J001,Thermal Oil Boiler Furnace 6 Monthly Checks,Weekly,1,,,Chief Engineer
25416,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J002,Thermal Oil Boiler Monthly Checks,Monthly,1,,,Third Engineer
25418,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J003,Thermal Oil Boiler 6 Monthly Maintenance,Monthly,6,,,Third Engineer
25422,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J005,Thermal Oil Boiler Annual Maintenance,Monthly,12,,,Third Engineer
25424,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J006,Thermal Oil Boiler Drum Pressure Gauge 24 Month Maintenance,Monthly,24,,,Second Engineer
25426,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J007,Thermal Oil Boiler Force Draft Fan 30 Month Maintenance,Monthly,30,,,Electrical Officer
25428,Bdp Spirit,Thermal Boiler #1 Main Burner,10.100.002.001-001,10.100.002.001-001-J001,Thermal Oil Boiler Main Burner Annual Maintenance,Monthly,12,,,Second Engineer
25436,Bdp Spirit,Exhaust Gas Cleaning System,4.001.014-001,10.100.003-001-J004,Exhaust Gas Fan Weekly Checks,Monthly,6,,,Second Engineer
25450,Bdp Spirit,Exhaust Gas Cleaning System,4.001.014-001,4.001.014-001-J001,Exhaust Gas Fan Motor Weekly Checks,Weekly,1,,,Second Engineer
25452,Bdp Spirit,Exhaust Gas Cleaning System,4.001.014-001,4.001.014-001-J002,Exhaust Gas Fan 2000 Hours Maintenance,,,Hourly,2000,Second Engineer
25454,Bdp Spirit,Exhaust Gas Cleaning System,4.001.014-001,4.001.014-001-J003,Exhaust Gas Fan 5000 Hours Maintenance,,,Hourly,5000,Second Engineer
25456,Bdp Spirit,Bilge Alarm,13.200.003.002-001,4.001.014-001-J004,Bilge Alarm - Level Sensors Test Function,Weekly,1,,,Electrical Officer
25458,Bdp Spirit,Exhaust Gas Cleaning System,4.001.014-001,4.001.014-001-J005,Exhaust Gas Fan Motor Annual Maintenance,Monthly,12,,,Second Engineer
25462,Bdp Spirit,Bow Thruster,12.001.031-001,12.001.031-001-J001,Bow Thruster Monthly Checks,Monthly,1,,,Second Engineer
25464,Bdp Spirit,Bow Thruster,12.001.031-001,12.001.031-001-J002,Bow Thruster 3 Monthly Checks,Monthly,3,,,Second Engineer
25466,Bdp Spirit,Auxiliary Generator Engine Standard Tools,2.200.001-001,2.200.001-001-J001,Fuel Valve Testing Pumps - 3 Monthly Checks,Monthly,3,,,Second Engineer
25468,Bdp Spirit,Gas Welding Set,17.150.005-001,17.150.005-001-J001,Gas Hoses / Pressure Gauge / Torch - 3 Monthly Checks,Monthly,3,,,Second Engineer
25470,Bdp Spirit,Gas Welding Set,17.150.005-001,17.150.005-001-J002,Gas Regulators (Oxygen & Acetylene) Renewal,Monthly,60,,,Chief Engineer
25472,Bdp Spirit,Gas Welding Set,17.150.005-001,17.150.005-001-J003,Oxygen & Acetylene Flashback Arrestor 3 Monthly Checks,Monthly,3,,,Second Engineer
25474,Bdp Spirit,Gas Welding Set,17.150.005-001,17.150.005-001-J004,Oxygen & Acetylene Bottles Annual Checks,Monthly,12,,,Chief Engineer
25476,Bdp Spirit,Hydraulic Jack & Spare Tools,18.100.006-001,18.100.006-001-J001,Portable Electric Tools Monthly Checks,Monthly,1,,,Electrical Officer
25478,Bdp Spirit,Hydraulic Jack & Spare Tools,18.100.006-001,18.100.006-001-J002,Portable Pneumatic Tools  Monthly Checks,Monthly,1,,,Second Engineer
25480,Bdp Spirit,Engine Room Automation Battery,3.250.013-007,3.250.013-007-J001,Battery Renewal,Monthly,36,,,Electrical Officer
25497,Bdp Spirit,Anchor Light,12.001.041.006-001,12.001.041.006-001-J001,Anchor Lights Monthly Checks,Monthly,1,,,Electrical Officer
25499,Bdp Spirit,Navigation Lights,12.001.041-001,12.001.041-001-J002,Dangerous Cargo Light Monthly Checks,Monthly,1,,,Electrical Officer
25501,Bdp Spirit,Masthead Light,12.001.041.002-001,12.001.041.002-001-J001,Mast Head Lights Monthly Checks,Monthly,1,,,Electrical Officer
25503,Bdp Spirit,Signal  Light,12.001.041.008-001,12.001.041.008-001-J003,Morse Signal Light Monthly Checks,Monthly,1,,,Electrical Officer
25505,Bdp Spirit,Panama Steering Light,12.001.041.010-001,12.001.041.010-001-J001,Pananma Steering Light Monthly Checks,Monthly,1,,,Electrical Officer
25507,Bdp Spirit,Port Side Lights,12.001.041.013-001,12.001.041.013-001-J001,Port & Stbd Side Lights Monthly Checks,Monthly,1,,,Electrical Officer
25511,Bdp Spirit,Stern Light,12.001.041.003-001,12.001.041.003-001-J001,Stern Lights Monthly Checks,Monthly,1,,,Electrical Officer
25513,Bdp Spirit,Suez Canal Search Light,12.001.041.005-001,12.001.041.005-001-J001,Suez Canal Light Monthly Checks,Monthly,1,,,Electrical Officer
25515,Bdp Spirit,Emer Generator Local Control Panel,2.500.001.034-001,2.500.001.034-001-J001,Control Panels 3 Monthly Maintenance,Monthly,3,,,Electrical Officer
25544,Bdp Spirit,Group Starter Panel,3.250.001-001,3.250.001-001-J001,Starter Panels 3 Monthly Maintenance,Monthly,3,,,Electrical Officer
25560,Bdp Spirit,Accommodation Area,21.100.002-001,21.100.002-001-J001,Accomodation Alarm Panel Annual Inspection,Monthly,12,,,Electrical Officer
25562,Bdp Spirit,Thermal Boiler #1,10.100.002-001,10.100.002-001-J008,Boiler Safeties Annual Test,Monthly,12,,,Electrical Officer
25566,Bdp Spirit,Electric Hot Plate,21.100.007.002-001,21.100.007.002-001-J001,Hot Plate 3 Monthly Checks,Monthly,3,,,Electrical Officer
25568,Bdp Spirit,Waste And Sludge Incinerator,13.200.002-001,13.200.002-001-J004,Incinerator Safeties Annual Test,Monthly,12,,,Electrical Officer
25570,Bdp Spirit,Interior Lighting Fixtures,3.250.003-001,3.250.003-001-J001,Lighting Fixtures 6 Monthly Checks,Monthly,6,,,Electrical Officer
25572,Bdp Spirit,Main Switchboard,3.001.001-001,3.001.001-001-J001,Main Switchboard 6 Monthly Checks,Monthly,6,,,Electrical Officer
25574,Bdp Spirit,Sound Powered Telephone,12.300.011-001,12.300.011-001-J001,Sound Powered Telephone 1 Monthly Checks,Monthly,1,,,Electrical Officer
25576,Bdp Spirit,Battery Charger,3.250.007-001,3.250.007-001-J001,Battery Charger Monthly Checks,Monthly,1,,,Electrical Officer
25595,Bdp Spirit,Emergency Generator,2.500.001-001,3.250.013-003-J003,Emergency Generator - Test Battery Start,Weekly,1,,,Chief Engineer
25599,Bdp Spirit,Emergency Fire Pump,11.100.020-001,11.100.020-001-J006,Emergency Fire Pump Annual Greasing,Monthly,12,,,Second Engineer
25603,Bdp Spirit,Fixed Co2 System,11.100.004-001,2.500.001-001-J006,Fixed Co2 System Monthly Inspection,Weekly,1,,,Chief Engineer
25605,Bdp Spirit,Emergency Sea Suction,13.200.001.011-001,13.200.001.011-001-J001,Emergency Sea Suction Test Operation,Monthly,3,,,Second Engineer
25609,Bdp Spirit,Fixed Co2 System,11.100.004-001,11.100.004-001-J002,Fixed Co2 System Level Check And Record Checking,Monthly,24,,,Shore Testing
